Car.PitchAcc,Car.PitchVel,Car.RollAcc,Car.RollVel,Car.YawAcc,Car.YawVel,Car.ax,Car.ay,Car.az,Car.v,Car.vx,Car.vy,Car.vz,Time
rad/s^2,rad/s,rad/s^2,rad/s,rad/s^2,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,m/s,s
2.38E-05,2.53E-06,-0.000969629,-0.000483233,3.08E-06,-6.28E-06,3.86E-06,0.000836733,-8.01E-05,0.000175922,7.83E-07,0.000174943,-1.85E-05,0.961
2.21E-05,2.76E-06,-0.000813257,-0.000492554,9.43E-06,-6.22E-06,3.46E-06,0.000771198,-5.83E-05,0.000183475,8.19E-07,0.000182464,-1.92E-05,0.971
2.00E-05,2.97E-06,-0.000676045,-0.000500417,1.48E-05,-6.09E-06,3.01E-06,0.000703232,-3.54E-05,0.000190345,8.51E-07,0.000189322,-1.97E-05,0.981
1.75E-05,3.15E-06,-0.000559444,-0.000507022,1.92E-05,-5.92E-06,2.51E-06,0.0006351,-1.19E-05,0.00019652,8.78E-07,0.000195504,-1.99E-05,0.991
1.47E-05,3.31E-06,-0.000464314,-0.00051258,2.24E-05,-5.70E-06,1.99E-06,0.000568805,1.15E-05,0.000202006,8.99E-07,0.000201018,-1.99E-05,1.001
1.15E-05,3.44E-06,-0.000382998,-0.000517283,2.46E-05,-5.47E-06,1.43E-06,0.00050577,3.44E-05,0.000206834,9.15E-07,0.00020589,-1.97E-05,1.011
8.01E-06,3.54E-06,-0.00031372,-0.00052121,2.58E-05,-5.21E-06,8.64E-07,0.000446863,5.62E-05,0.00021104,9.25E-07,0.000210158,-1.93E-05,1.021
4.33E-06,3.60E-06,-0.000268573,-0.000524578,2.62E-05,-4.95E-06,2.88E-07,0.000393104,7.66E-05,0.000214676,9.29E-07,0.000213867,-1.86E-05,1.031
5.07E-07,3.62E-06,-0.000246779,-0.000527626,2.58E-05,-4.69E-06,-2.68E-07,0.000345411,9.50E-05,0.000217799,9.28E-07,0.000217074,-1.77E-05,1.041
-3.39E-06,3.61E-06,-0.000246909,-0.000530578,2.47E-05,-4.43E-06,-7.97E-07,0.000304653,0.000111215,0.000220478,9.21E-07,0.000219843,-1.67E-05,1.051
-7.30E-06,3.55E-06,-0.000267069,-0.000533645,2.29E-05,-4.19E-06,-1.29E-06,0.00027151,0.000124807,0.000222788,9.08E-07,0.000222246,-1.55E-05,1.061
-1.11E-05,3.46E-06,-0.000305067,-0.000537014,2.05E-05,-3.98E-06,-1.75E-06,0.000246401,0.000135575,0.000224811,8.91E-07,0.00022436,-1.42E-05,1.071
-1.48E-05,3.32E-06,-0.000358521,-0.00054085,1.76E-05,-3.78E-06,-2.12E-06,0.000229533,0.000143342,0.00022663,8.70E-07,0.000226266,-1.28E-05,1.081
-1.82E-05,3.16E-06,-0.000417549,-0.000545272,1.43E-05,-3.63E-06,-2.47E-06,0.00022032,0.000148076,0.000228328,8.46E-07,0.000228045,-1.13E-05,1.091
-2.13E-05,2.96E-06,-0.000478911,-0.00055027,1.08E-05,-3.50E-06,-2.74E-06,0.000218131,0.000149844,0.00022998,8.18E-07,0.000229768,-9.83E-06,1.101
-2.41E-05,2.73E-06,-0.000551158,-0.000555944,7.24E-06,-3.41E-06,-2.97E-06,0.000222404,0.000148663,0.000231655,7.88E-07,0.000231504,-8.33E-06,1.111
-2.64E-05,2.48E-06,-0.000632031,-0.000562389,3.76E-06,-3.36E-06,-3.10E-06,0.000232635,0.000144624,0.000233417,7.57E-07,0.000233315,-6.85E-06,1.121
-2.82E-05,2.20E-06,-0.000719356,-0.00056968,2.31E-07,-3.34E-06,-3.14E-06,0.000248163,0.000137921,0.00023532,7.25E-07,0.000235257,-5.43E-06,1.131
-2.95E-05,1.91E-06,-0.000810588,-0.000577867,-3.18E-06,-3.35E-06,-3.15E-06,0.000268594,0.000128748,0.000237415,6.93E-07,0.000237379,-4.08E-06,1.141
-3.02E-05,1.61E-06,-0.000903383,-0.000586975,-6.43E-06,-3.40E-06,-3.07E-06,0.000293375,0.00011735,0.000239745,6.61E-07,0.000239727,-2.84E-06,1.151
-3.04E-05,1.31E-06,-0.000995658,-0.000597009,-9.48E-06,-3.48E-06,-2.93E-06,0.000321818,0.000104015,0.000242349,6.31E-07,0.000242342,-1.72E-06,1.161
-3.00E-05,1.01E-06,-0.00108557,-0.000607953,-1.23E-05,-3.59E-06,-2.72E-06,0.00035317,8.91E-05,0.000245258,6.03E-07,0.000245256,-7.50E-07,1.171
-2.91E-05,7.10E-07,-0.001163736,-0.000619745,-1.48E-05,-3.72E-06,-2.46E-06,0.000386364,7.29E-05,0.000248494,5.77E-07,0.000248494,6.88E-08,1.181
-2.76E-05,4.27E-07,-0.001230396,-0.00063223,-1.70E-05,-3.88E-06,-2.16E-06,0.000420241,5.58E-05,0.00025207,5.54E-07,0.000252068,7.20E-07,1.191
-2.56E-05,1.62E-07,-0.001293094,-0.000645358,-1.87E-05,-4.06E-06,-1.81E-06,0.00045395,3.83E-05,0.000255986,5.35E-07,0.000255982,1.20E-06,1.201
-2.31E-05,-8.08E-08,-0.001351063,-0.000659084,-2.00E-05,-4.25E-06,-1.42E-06,0.000486856,2.07E-05,0.000260237,5.20E-07,0.000260232,1.50E-06,1.211
-2.02E-05,-2.96E-07,-0.001403517,-0.000673357,-2.09E-05,-4.46E-06,-1.00E-06,0.000518531,3.24E-06,0.000264813,5.09E-07,0.000264808,1.62E-06,1.221
-1.70E-05,-4.81E-07,-0.001449748,-0.000688117,-2.15E-05,-4.67E-06,-5.61E-07,0.000548642,-1.37E-05,0.000269699,5.03E-07,0.000269694,1.57E-06,1.231
-1.35E-05,-6.32E-07,-0.001489206,-0.000703298,-2.17E-05,-4.88E-06,-1.05E-07,0.000576889,-2.99E-05,0.000274879,5.01E-07,0.000274875,1.36E-06,1.241
-9.76E-06,-7.47E-07,-0.001521527,-0.00071883,-2.17E-05,-5.10E-06,3.59E-07,0.000602988,-4.50E-05,0.000280333,5.04E-07,0.000280331,9.81E-07,1.251
-5.89E-06,-8.23E-07,-0.001546534,-0.00073464,-2.15E-05,-5.32E-06,8.23E-07,0.000626682,-5.89E-05,0.00028604,5.11E-07,0.000286039,4.61E-07,1.261
-1.97E-06,-8.60E-07,-0.001564214,-0.000750654,-2.10E-05,-5.53E-06,1.28E-06,0.000647743,-7.13E-05,0.000291976,5.24E-07,0.000291976,-1.92E-07,1.271
1.94E-06,-8.59E-07,-0.001574693,-0.000766798,-2.03E-05,-5.73E-06,1.72E-06,0.000665986,-8.21E-05,0.000298115,5.40E-07,0.000298113,-9.61E-07,1.281
5.76E-06,-8.18E-07,-0.001570804,-0.000782971,-1.94E-05,-5.93E-06,2.15E-06,0.000680992,-9.11E-05,0.000304428,5.61E-07,0.000304422,-1.83E-06,1.291
9.41E-06,-7.40E-07,-0.001556531,-0.000799022,-1.83E-05,-6.11E-06,2.54E-06,0.00069241,-9.81E-05,0.000310884,5.87E-07,0.000310871,-2.78E-06,1.301
1.28E-05,-6.27E-07,-0.001538133,-0.000814898,-1.70E-05,-6.29E-06,2.90E-06,0.000700121,-0.000103212,0.000317447,6.15E-07,0.000317424,-3.79E-06,1.311
1.60E-05,-4.81E-07,-0.001516074,-0.000830561,-1.55E-05,-6.45E-06,3.23E-06,0.000704225,-0.000106305,0.000324082,6.47E-07,0.000324045,-4.84E-06,1.321
1.87E-05,-3.06E-07,-0.001490643,-0.000845975,-1.39E-05,-6.60E-06,3.52E-06,0.00070497,-0.000107442,0.000330753,6.82E-07,0.000330699,-5.92E-06,1.331
2.11E-05,-1.05E-07,-0.001462033,-0.000861106,-1.22E-05,-6.72E-06,3.76E-06,0.000702655,-0.000106682,0.000337429,7.20E-07,0.000337356,-6.99E-06,1.341
2.31E-05,1.17E-07,-0.001430397,-0.000875924,-1.06E-05,-6.84E-06,3.96E-06,0.000697565,-0.000104118,0.000344081,7.60E-07,0.000343986,-8.05E-06,1.351
2.45E-05,3.56E-07,-0.001395879,-0.000890396,-8.92E-06,-6.93E-06,4.11E-06,0.000689956,-9.99E-05,0.000350683,8.01E-07,0.000350565,-9.07E-06,1.361
2.55E-05,6.07E-07,-0.001358611,-0.000904496,-7.34E-06,-7.01E-06,4.22E-06,0.000680051,-9.41E-05,0.00035721,8.43E-07,0.000357068,-1.00E-05,1.371
